Page,Question,answer_refined,Answer,answer_refined_qa,answer_refined_qa_result,answer_refined_result,answer_qa_only,answer_qa_only_result,answer_plain,answer_plain_result
2,리포트에서 화석연료 대비 지정학적 변수에 덜 좌우된다고 언급된 에너지원 세 가지 중 하나를 말해보세요.,태양광,"태양광, 풍력, 원자력 중 택1",태양광,O,O,신재생에너지,X,태양광,O
2,"리포트에 따르면, 각국이 과거의 효율성 대신 앞으로 최우선 가치로 삼을 것으로 전망되는 것 중 하나는 자급력과 무엇인가요?",안전성,안전성,안전성,O,O,안전성,O,안전성,O
2,"미국-이란 전쟁으로 인한 변화로 리포트에서 제시한 두 가지 영향 중 하나는 신재생에너지 매력도 증가이고, 다른 하나는 미국 어느 정당의 중간 선거 승리 가능성 하락인가요?",공화당,공화당,공화당,O,O,알 수 없음,X,아니요,X
3,AD/CVD 규제에서 예상되는 관세율 범위가 어떻게 되나요?,알 수 없음,94~190%,94~190%,O,X,94~190%,O,94~190%,O
3,AD/CVD 규제가 적용될 예정인 국가는 어디인가요?,"인도, 인도네시아, 라오스","인도, 인도네시아, 라오스","인도, 인도네시아, 라오스",O,O,"인도, 인도네시아, 라오스",O,"인도, 인도네시아, 라오스",O
3,Section 232 조치의 조사 결과 발표 데드라인은 언제인가요?,3월 말,3월 말,2026년 3월 말,O,O,2025년 3월 말,O,3월 말,O
3,Section 232 규제가 적용될 예정인 국가는 어디인가요?,중국,중국,중국,O,O,중국,O,중국,O
3,PFE 규제에서 FEOC 비중이 몇 퍼센트를 넘으면 AMPC 세액공제를 받을 수 없나요?,50%,50%,50%,O,O,50%,O,50%,O
3,PFE 규제는 몇 년부터 적용 중인가요?,2026년,2026년,2026년,O,O,2026년,O,2026년부터,O
3,PFE 규제의 타겟 품목에는 어떤 에너지 관련 설비들이 포함되나요?,"태양광, 풍력, 배터리",태양광/풍력/배터리,"태양광, 풍력, 배터리",O,O,"태양광, 풍력, 배터리",O,"태양광, 풍력, 배터리",O
3,리포트에서 제시한 OCI홀딩스의 적정 12MF PER 배수는 얼마인가요?,15.0,15배,15.0배,O,O,15배,O,15.0,O
3,1차 폴리실리콘 가격 반등 사이클이 발생한 기간은 언제인가요?,2013~2014년,2013~2014년,2013~2014년,O,O,2013~2014년,O,2013~2014년,O
3,리포트에서 폴리실리콘 생산능력 축소가 예상되는 연도는 언제인가요?,2026년,2026년,2026년,O,O,2026년,O,2026년,O
4,미국 태양광 연간 수요는 보고서에서 어느 정도 수준으로 가정하고 있나요?,200GW,50GW,약 50GW,O,X,50GW,O,50GW 수준,O
4,퍼스트솔라의 박막형 태양전지 명목 생산능력은 몇 GW로 제시되어 있나요?,알 수 없음,19GW,19GW,O,X,19GW,O,19GW,O
4,보고서에서 예상하는 중국 폴리실리콘 TRQ 설정 물량 범위는 몇만 톤으로 제시되나요?,3~6만 톤,3~6만 톤,3~6만 톤,O,O,3~6만 톤,O,3~6만 톤,O
4,보고서에서 3~6만 톤의 폴리실리콘은 태양광 기준으로 몇 GW에 해당한다고 설명하나요?,15~30GW,15~30GW,15~30GW,O,O,15~30GW,O,15~30GW,O
4,TRQ를 초과하는 중국 폴리실리콘에 부과될 것으로 예상되는 관세 수준은 kg당 얼마 이상인가요?,kg당 10달러 이상,10달러,kg당 10달러 이상,O,O,kg당 10달러 이상,O,10달러 이상,O
4,웨이퍼 공장 인수로 2026년 추가될 것으로 예상되는 매출액은 얼마인가요?,"1,953억원","1,953억원",388억 원,X,O,"1,953억 원",O,"1,953억원",O
4,웨이퍼 공장 인수로 2026년 추가될 것으로 예상되는 영업이익은 얼마인가요?,388억원,388억원,388억 원,O,O,388억 원,O,388억원,O
4,웨이퍼 공장 인수로 2026년에 예상되는 웨이퍼 사업의 영업이익률(OPM)은 몇 %인가요?,20%,20%,20%,O,O,20%,O,20%,O
4,동사가 계획한 대로 2027년까지 웨이퍼 증설이 완료되면 웨이퍼 캐파는 몇 GW까지 확대될 예정인가요?,5.4GW,5.4GW,5.4GW,O,O,5.4GW,O,5.4GW,O
4,"2027년까지 웨이퍼 증설이 완료될 경우, 웨이퍼에서 소비되는 폴리실리콘은 약 몇 톤으로 제시되나요?",약 1만톤,1만톤,약 1만 톤,O,O,약 1만 톤,O,약 1만 톤,O
5,OCI홀딩스가 현재 연간 생산 가능한 폴리실리콘 규모는 얼마로 제시되어 있나요?,3만톤,3.5만톤,약 3만 5천톤,O,X,3.5만 톤,O,3.5만톤,O
5,머스크가 계획 중인 미국 태양광 생산능력은 몇 GW로 언급되나요?,200GW,200GW,200GW,O,O,200GW,O,200GW,O
5,OCI홀딩스가 과거 발표한 2027년 폴리실리콘 생산능력 증설 목표는 몇 만톤인가요?,5.7만톤,5.7만톤,5.7만톤,O,O,5.7만 톤,O,5.7만톤,O
5,OCI Energy가 보유한 태양광/ESS 발전자산 파이프라인 규모는 몇 GW인가요?,7GW,7GW,7GW,O,O,7GW,O,7GW,O
5,최근 OCI홀딩스가 매각했던 발전자산 가격으로 적용된 W당 단가는 어느 수준으로 표현되나요?,10센트 초반(USD/W),10센트 초반,W당 10센트 초반,O,O,10센트 초반(USD/W),O,1달러 넘음,X
5,7GW 파이프라인 가치를 산정할 때 적용한 달러 환율은 얼마인가요?,"1,450원","1,450원","1,450원",O,O,"1,450원/USD",O,"1,450원",O
5,위 환율과 단가를 적용해 산출한 7GW 파이프라인 가치는 약 얼마로 제시되나요?,1.1조원,1.1조원,약 1.1조원,O,O,1.1조 원,O,약 1.1조원,O
5,구글이 인수한 인터섹트의 태양광 파이프라인 가치는 W당 얼마가 넘는다고 언급되나요?,1달러,1달러,1달러,O,O,1달러/W,O,1달러,O
5,OCI홀딩스의 3.5만톤 폴리실리콘은 태양광 모듈 기준 몇 GW 수준으로 전환 가능하다고 하나요(범위의 하단)?,15GW,15GW,15GW,O,O,15GW,O,15GW,O
5,OCI홀딩스의 3.5만톤 폴리실리콘은 태양광 모듈 기준 몇 GW 수준으로 전환 가능하다고 하나요(범위의 상단)?,18GW,18GW,18GW,O,O,18GW,O,18GW,O
6,2025년 OCI홀딩스 전체 매출액 전망치는 얼마로 나와 있어?,"3,397십억원","3,397.3십억원","3,397억 원",O,O,"3,397억 원",O,"3,397.3십억원",O
6,2026년 OCITRS 매출액 전망치는 얼마야?,"1,133.4십억원","1,133.4십억원","1,133.4십억원",O,O,"1,133.4십억원",O,"1,133.4십억원",O
6,2025년 DCRE 매출액 전망치는 얼마로 제시돼 있어?,"3,397십억원",451.5십억원,650.0십억원,X,X,650.0십억원,X,150.0,X
6,2026년 OCI SE+E 영업이익 전망치는 얼마야?,알 수 없음,97.9십억원,97.9십억원,O,X,97.9십억원,O,알 수 없음,X
6,2025년 전체 영업이익 전망치는 얼마로 나와 있어?,-58십억원,-57.6십억원,-58십억원,O,O,-58억 원,O,-58십억원,O
6,2026년 전체 세전이익 전망치는 얼마야?,427십억원,426.6십억원,427십억원,O,O,알 수 없음,X,427억원,X
6,2025년 지배주주 순이익 전망치는 얼마로 제시돼 있어?,-84십억원,-84.1십억원,-84.1십억원,O,X,-84십억원,X,-84십억원,O
6,리포트에서 제시한 OCI홀딩스 목표주가는 얼마야?,"270,000원","269,920원","270,000원",O,X,"270,000원",X,"270,000원",X
6,리포트 기준 현재주가는 얼마로 적혀 있어?,"198,200원","198,200원","198,200원",O,O,"198,200원",O,"198,200원",O
6,목표주가 대비 괴리율은 몇 퍼센트로 제시돼 있어?,-19.02%,36.2%,36.2%,O,X,36.2%,O,-25.41%,X
7,미국에서 가동 중인 폴리실리콘 생산능력은 몇 GW야?,25GW,25GW,25GW,O,O,25GW,O,15~30GW,O
7,미국에서 건설 중인 폴리실리콘 생산능력은 몇 GW로 나와 있어?,8GW,8GW,8GW,O,O,8GW,O,15~30GW,X
7,미국 잉곳 생산능력 중 현재 가동 중인 규모는 몇 GW야?,3GW,3GW,3GW,O,O,3GW,O,알 수 없음,X
7,미국 잉곳 생산능력에서 증설 예정 규모는 몇 GW로 제시돼 있어?,25GW,25GW,25GW,O,O,25GW,O,알 수 없음,X
7,미국 웨이퍼 생산능력 중 가동 중인 규모는 몇 GW야?,3GW,3GW,3GW,O,O,3GW,O,5.4GW,X
7,미국 셀 생산능력에서 현재 가동 중인 규모는 몇 GW로 나와 있어?,0GW,0GW,0GW,O,O,0GW,O,19GW,X
7,미국 셀 생산능력에서 건설 중인 규모는 몇 GW야?,12GW,12GW,12GW,O,O,12GW,O,19GW,X
7,미국 셀 생산능력에서 증설 예정 규모는 몇 GW로 제시돼 있어?,18GW,18GW,18GW,O,O,18GW,O,5.4GW,X
7,미국 모듈 생산능력 중 가동 중인 규모는 몇 GW야?,67GW,67GW,67GW,O,O,67GW,O,알 수 없음,X
7,OCI홀딩스 폴리실리콘 판매 전략에서 LTA 비중은 몇 %로 설정돼 있어?,40%,40%,40%,O,O,40%,O,30%,X
8,2024년에 OCI홀딩스의 매출액은 얼마로 예상되나요?,"3,577십억원","3,577십억원","3,577억 원",X,O,"3,577억 원",X,"3,577억원",X
8,2025년 예상 영업이익률은 몇 퍼센트인가요?,-1.7%,-1.7%,-1.7%,O,O,-1.7%,O,-1.7%,O
8,2026년 예상 EBITDA 마진율은 몇 퍼센트인가요?,18.4%,18.4%,18.4%,O,O,18.4%,O,18.4%,O
8,2027년 예상 당기순이익은 얼마인가요?,492십억원,492십억원,492억 원,O,O,492억 원,X,492,X
8,2024년 말 기준 현금 및 현금성자산은 얼마로 예상되나요?,"1,143십억원","1,143십억원","1,143억 원",O,O,"1,143억 원",O,"1,143억원",X
8,2025년 말 기준 단기금융부채는 얼마인가요?,896십억원,896십억원,896십억원,O,O,"1,099억 원",X,899,X
8,2026년 지배주주귀속 순이익률은 몇 퍼센트로 제시되어 있나요?,8.2%,8.2%,8.2%,O,O,8.2%,O,8.2%,O
8,2027년 예상 자산총계는 얼마인가요?,"9,009십억원","9,009십억원","9,009억 원",X,O,"9,009억 원",X,"9,009 (십억원)",O
8,2024년 예상 FCF(자유현금흐름)는 얼마인가요?,8십억원,-240십억원,-240억 원,X,X,-240억 원,X,-271,X
8,2025년에 영업활동으로 인한 현금흐름은 얼마로 예상되나요?,249십억원,249십억원,249십억원,O,O,249억 원,O,249,X
9,2026년 3월 20일 기준 OCI홀딩스의 목표주가는 얼마로 제시됐나요?,"270,000원","270,000원","270,000원",O,O,"270,000원",O,"270,000원",O
9,2026년 2월 19일 리포트에서 제시된 OCI홀딩스 목표주가는 얼마인가요?,"182,000원","182,000원","182,000원",O,O,"182,000원",O,"182,000원",O
9,2026년 2월 11일 리포트에서 OCI홀딩스의 투자의견은 무엇이었나요?,매수,매수,매수,O,O,매수,O,매수,O
9,2025년 11월 12일에 제시된 OCI홀딩스 목표주가는 얼마였나요?,"146,000원","146,000원","146,000원",O,O,"146,000원",O,"146,000원",O
9,2025년 10월 14일 리포트에서 제시된 괴리율은 몇 %였나요?,알 수 없음,-15.84%,-19.02%,X,X,알 수 없음,X,-25.41%,X
9,2025년 7월 25일 리포트에서 OCI홀딩스의 목표주가는 얼마였나요?,"128,000원","128,000원","128,000원",O,O,"128,000원",O,"128,000원",O
9,2025년 4월 15일 리포트에서 제시된 괴리율은 몇 %인가요?,-19.02%,-19.02%,-19.02%,O,O,36.2%,X,알 수 없음,X
9,2024년 7월 12일 리포트에서 OCI홀딩스의 목표주가는 얼마였나요?,"269,920원","133,000원","133,000원",O,X,"133,000원",O,알 수 없음,X
9,2023년 10월 27일 리포트에서 제시된 OCI홀딩스 목표주가는 얼마인가요?,알 수 없음,"165,000원",알 수 없음,X,X,알 수 없음,X,알 수 없음,X
9,2025년 12월 31일 기준 최근 1년간 공표된 투자등급 중 ‘매수(매수)’ 비율은 몇 %인가요?,79.76%,79.76%,79.76%,O,O,79.76%,O,79.76%,O
5,이 회사와 협업 가능성이 높을 것으로 예상되는 사람은 누구인가요?,일론 머스크,일론 머스크,일론 머스크,O,O,일론 머스크,O,일론 머스크,O
4,중국 폴리실리콘에 대한 Section 232는 무엇으로 선정될 가능성이 높나요?,"TRQ(Tariff Rate Quota, 관세할당제)",TRQ,TRQ(관세할당제),O,O,TRQ(관세할당제),O,"TRQ(Tariff Rate Quota, 관세할당제)",O
4,25년 11월 미국 정부의 셧다운 기간은?,43일,43일,43일,O,O,43일,O,알 수 없음,X
4,리포트에 따르면 본사는 단순 폴리실리콘 생산자에서 어떤 기업으로 나아가고자 하나요?,복합 태양광 발전 기업,복합 태양광 발전 기업,복합 태양광 발전 기업,O,O,복합 태양광 발전 기업,O,복합 태양광 발전 기업,O
3,2013~14년에는 동사 12MF PER이 10배에서 몇 배 수준까지 리레이팅되었나요?,20~50배,20~50배,20~50배,O,O,20~50배,O,25배 수준,X
3,폴리실리콘 시장에 대한 악재 해소 내용 중 2025년에 통과된 미국의 법안 이름은?,OBBBA,OBBBA,OBBBA,O,O,OBBBA,O,OBBBA 법안,O
3,2020~2021년도에 리레이팅이 이뤄지지 못한 이유는 중국의 어떤 것이 예견되었기 때문이었나?,공급과잉,공급과잉,공급과잉,O,O,공급과잉,O,공급과잉,O
8,2027년 예상되는 OCI 홀딩스의 기말현금 액수는?,"1,055십억원",1055십억원,"1,055억 원",O,O,"1,055억 원",O,"1,055억원",X
8,2026년 OCI홀딩스의 예상 주당순이익(EPS)은 얼마인가?,"19,043원","19,043원","19,043원",O,O,"19,043원",O,"19,043원",O
1,본 리서치 리포트에 적힌 KOSPI 지수는 몇인가요?,"5,763.22","5,763.22","5,763.22",O,O,알 수 없음,X,"5,763.22",O
